Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,0,"[1, 2, 3]","[1.6837290525436401, -0.008366227149963379, 0.006483405828475952, -1.1776607036590576]",-1,87.29999999999998,"[[16  8  0  0]
 [ 2 16  4  0]
 [ 8  4 64  2]
 [ 4  2  4  2]]","[[16  8  0  0]
 [ 2 16  4  0]
 [ 8  4 64  2]
 [ 4  2  4  2]]",False
0,0,0,"[1, 2, 3]","[1.6837290525436401, -0.008366227149963379, 0.006483405828475952, -1.1776607036590576]",-1,86.29999999999998,"[[16  8  0  0]
 [ 2 16  4  0]
 [ 8  4 64  2]
 [ 4  2  4  2]]","[[16  8  0  0]
 [ 2 16  4  0]
 [ 8  4 64  2]
 [ 4  2  4  2]]",False
0,0,2,"[1, 2, 3]","[1.6837290525436401, -0.008366227149963379, 0.006483405828475952, -1.1776607036590576]",0.6000000000000001,86.89999999999998,"[[16  8  0  0]
 [ 2 16  4  0]
 [ 8  4 64  2]
 [ 4  2  4  2]]","[[ 0  0 16  8]
 [ 2  2 16  4]
 [ 8  4 64  2]
 [ 4  2  4  2]]",False
0,0,0,"[0, 1, 2, 3]","[1.5432400703430176, -0.19983243942260742, 0.2732779085636139, -1.3540802001953125]",1.0,87.89999999999998,"[[ 0  0 16  8]
 [ 2  2 16  4]
 [ 8  4 64  2]
 [ 4  2  4  2]]","[[16  8  0  0]
 [ 4 16  4  2]
 [ 8  4 64  2]
 [ 4  2  4  2]]",False
0,0,0,"[1, 2, 3]","[1.7188936471939087, -0.03925454616546631, 0.01865503191947937, -1.2229617834091187]",-1,86.89999999999998,"[[16  8  0  0]
 [ 4 16  4  2]
 [ 8  4 64  2]
 [ 4  2  4  2]]","[[16  8  0  0]
 [ 4 16  4  2]
 [ 8  4 64  2]
 [ 4  2  4  2]]",False
0,0,1,"[1, 2, 3]","[1.7188936471939087, -0.03925454616546631, 0.01865503191947937, -1.2229617834091187]",1.0,87.89999999999998,"[[16  8  0  0]
 [ 4 16  4  2]
 [ 8  4 64  2]
 [ 4  2  4  2]]","[[16  8  4  4]
 [ 4 16 64  2]
 [ 8  4  4  0]
 [ 4  2  2  0]]",False
0,0,2,"[0, 2, 3]","[2.0406293869018555, -0.2966494560241699, 0.35517558455467224, -1.4792052507400513]",2.6,90.49999999999997,"[[16  8  4  4]
 [ 4 16 64  2]
 [ 8  4  4  0]
 [ 4  2  2  0]]","[[ 2 16  8  8]
 [ 4 16 64  2]
 [ 0  0  8  8]
 [ 0  0  4  4]]",False
0,0,3,"[0, 1, 2, 3]","[1.8558810949325562, -0.5316638946533203, 0.4978448748588562, -1.795412540435791]",3.8000000000000003,94.29999999999997,"[[ 2 16  8  8]
 [ 4 16 64  2]
 [ 0  0  8  8]
 [ 0  0  4  4]]","[[ 0  2  8  8]
 [ 0  0 64  2]
 [ 2  0  8  8]
 [ 4 32  4  4]]",False
0,0,3,"[0, 1, 2, 3]","[1.5814878940582275, -0.6170907616615295, 0.6038621664047241, -1.8275519609451294]",0.6000000000000001,94.89999999999996,"[[ 0  2  8  8]
 [ 0  0 64  2]
 [ 2  0  8  8]
 [ 4 32  4  4]]","[[ 0  0  8  8]
 [ 0  2 64  2]
 [ 2  2  8  8]
 [ 4 32  4  4]]",False
0,0,3,"[0, 1, 2, 3]","[1.5162286758422852, -0.538546621799469, 0.5893057584762573, -1.7584519386291504]",1.0,95.89999999999996,"[[ 0  0  8  8]
 [ 0  2 64  2]
 [ 2  2  8  8]
 [ 4 32  4  4]]","[[ 2  0  8  8]
 [ 0  0 64  2]
 [ 2  4  8  8]
 [ 4 32  4  4]]",False
