Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,3,"[1, 2, 3]",12,138,"[[ 2  4  0  0]
 [ 2  4  0  0]
 [ 8 32 16  0]
 [16  4  8  4]]","[[ 0  0  0  0]
 [ 4  8  0  2]
 [ 8 32 16  0]
 [16  4  8  4]]",False,True
0,0,1,"[0, 1, 2, 3]",0,138,"[[ 0  0  0  0]
 [ 4  8  0  2]
 [ 8 32 16  0]
 [16  4  8  4]]","[[ 4  8 16  2]
 [ 8 32  8  4]
 [16  4  0  0]
 [ 2  0  0  0]]",False,True
0,0,1,"[2, 3]",-10,128,"[[ 4  8 16  2]
 [ 8 32  8  4]
 [16  4  0  0]
 [ 2  0  0  0]]","[[ 4  8 16  2]
 [ 8 32  8  4]
 [16  4  0  0]
 [ 2  0  0  0]]",False,True
0,0,2,"[2, 3]",0,128,"[[ 4  8 16  2]
 [ 8 32  8  4]
 [16  4  0  0]
 [ 2  0  0  0]]","[[ 4  8 16  2]
 [ 8 32  8  4]
 [ 0  0 16  4]
 [ 0  0  2  2]]",False,True
0,0,2,"[0, 1, 2, 3]",4,132,"[[ 4  8 16  2]
 [ 8 32  8  4]
 [ 0  0 16  4]
 [ 0  0  2  2]]","[[ 4  8 16  2]
 [ 8 32  8  4]
 [ 0  0 16  4]
 [ 0  2  0  4]]",False,True
0,0,1,"[0, 1, 2, 3]",8,140,"[[ 4  8 16  2]
 [ 8 32  8  4]
 [ 0  0 16  4]
 [ 0  2  0  4]]","[[ 4  8 16  2]
 [ 8 32  8  8]
 [ 0  2 16  4]
 [ 2  0  0  0]]",False,True
0,0,0,"[0, 1, 2, 3]",16,156,"[[ 4  8 16  2]
 [ 8 32  8  8]
 [ 0  2 16  4]
 [ 2  0  0  0]]","[[ 4  8 16  2]
 [ 8 32 16  0]
 [ 2 16  4  0]
 [ 2  0  0  2]]",False,True
0,0,0,"[0, 1, 2, 3]",4,160,"[[ 4  8 16  2]
 [ 8 32 16  0]
 [ 2 16  4  0]
 [ 2  0  0  2]]","[[ 4  8 16  2]
 [ 8 32 16  0]
 [ 2 16  4  2]
 [ 4  0  0  0]]",False,True
0,0,3,"[1, 2, 3]",36,196,"[[ 4  8 16  2]
 [ 8 32 16  0]
 [ 2 16  4  2]
 [ 4  0  0  0]]","[[ 4  0  2  0]
 [ 8  8  0  0]
 [ 2 32 32  0]
 [ 4 16  4  4]]",False,True
0,0,1,"[0, 1, 2, 3]",0,196,"[[ 4  0  2  0]
 [ 8  8  0  0]
 [ 2 32 32  0]
 [ 4 16  4  4]]","[[ 4  8  2  4]
 [ 8 32 32  0]
 [ 2 16  4  0]
 [ 4  0  0  2]]",False,True
0,0,3,"[0, 1, 2, 3]",0,196,"[[ 4  8  2  4]
 [ 8 32 32  0]
 [ 2 16  4  0]
 [ 4  0  0  2]]","[[ 4  0  2  0]
 [ 8  8  2  0]
 [ 2 32 32  4]
 [ 4 16  4  2]]",False,True
0,0,2,"[0, 1, 2, 3]",80,276,"[[ 4  0  2  0]
 [ 8  8  2  0]
 [ 2 32 32  4]
 [ 4 16  4  2]]","[[ 0  2  4  2]
 [ 0  0 16  2]
 [ 0  2 64  4]
 [ 4 16  4  2]]",False,True
0,0,3,"[0, 1, 3]",8,284,"[[ 0  2  4  2]
 [ 0  0 16  2]
 [ 0  2 64  4]
 [ 4 16  4  2]]","[[ 0  0  4  0]
 [ 0  0 16  4]
 [ 2  4 64  4]
 [ 4 16  4  2]]",False,True
0,0,3,"[0, 1, 2, 3]",8,292,"[[ 0  0  4  0]
 [ 0  0 16  4]
 [ 2  4 64  4]
 [ 4 16  4  2]]","[[ 0  0  4  0]
 [ 0  2 16  0]
 [ 2  4 64  8]
 [ 4 16  4  2]]",False,True
0,0,0,"[0, 1, 2]",0,292,"[[ 0  0  4  0]
 [ 0  2 16  0]
 [ 2  4 64  8]
 [ 4 16  4  2]]","[[ 4  0  0  2]
 [ 2 16  0  0]
 [ 2  4 64  8]
 [ 4 16  4  2]]",False,True
0,0,1,"[0, 1, 2, 3]",4,296,"[[ 4  0  0  2]
 [ 2 16  0  0]
 [ 2  4 64  8]
 [ 4 16  4  2]]","[[ 4 16 64  2]
 [ 4  4  4  8]
 [ 4 16  0  2]
 [ 0  2  0  0]]",False,True
0,0,1,"[0, 1, 2, 3]",8,304,"[[ 4 16 64  2]
 [ 4  4  4  8]
 [ 4 16  0  2]
 [ 0  2  0  0]]","[[ 8 16 64  2]
 [ 4  4  4  8]
 [ 2 16  0  2]
 [ 0  2  0  0]]",False,True
0,0,3,"[0, 2, 3]",0,304,"[[ 8 16 64  2]
 [ 4  4  4  8]
 [ 2 16  0  2]
 [ 0  2  0  0]]","[[ 0 16  2  0]
 [ 8  4  0  2]
 [ 4 16 64  8]
 [ 2  2  4  2]]",False,True
0,0,0,"[0, 1, 2, 3]",4,308,"[[ 0 16  2  0]
 [ 8  4  0  2]
 [ 4 16 64  8]
 [ 2  2  4  2]]","[[16  2  0  0]
 [ 8  4  2  0]
 [ 4 16 64  8]
 [ 4  4  2  2]]",False,True
0,0,1,"[0, 1, 2, 3]",8,316,"[[16  2  0  0]
 [ 8  4  2  0]
 [ 4 16 64  8]
 [ 4  4  2  2]]","[[16  2  2  8]
 [ 8  4 64  2]
 [ 8 16  2  0]
 [ 2  4  0  0]]",False,True
0,0,1,"[0, 1, 2, 3]",16,332,"[[16  2  2  8]
 [ 8  4 64  2]
 [ 8 16  2  0]
 [ 2  4  0  0]]","[[16  2  2  8]
 [16  4 64  2]
 [ 2 16  2  2]
 [ 0  4  0  0]]",False,True
0,0,3,"[0, 1, 2, 3]",36,368,"[[16  2  2  8]
 [16  4 64  2]
 [ 2 16  2  2]
 [ 0  4  0  0]]","[[ 2  2  0  0]
 [ 0  4  2  0]
 [32 16 64  8]
 [ 2  4  2  4]]",False,True
0,0,2,"[0, 1, 2, 3]",4,372,"[[ 2  2  0  0]
 [ 0  4  2  0]
 [32 16 64  8]
 [ 2  4  2  4]]","[[ 0  0  0  4]
 [ 2  0  4  2]
 [32 16 64  8]
 [ 2  4  2  4]]",False,True
0,0,1,"[0, 1, 2]",0,372,"[[ 0  0  0  4]
 [ 2  0  4  2]
 [32 16 64  8]
 [ 2  4  2  4]]","[[ 2 16  4  4]
 [32  4 64  2]
 [ 2  0  2  8]
 [ 0  2  0  4]]",False,True
0,0,1,"[0, 1, 2, 3]",0,372,"[[ 2 16  4  4]
 [32  4 64  2]
 [ 2  0  2  8]
 [ 0  2  0  4]]","[[ 2 16  4  4]
 [32  4 64  2]
 [ 2  2  2  8]
 [ 0  0  2  4]]",False,True
0,0,3,"[0, 1, 2, 3]",4,376,"[[ 2 16  4  4]
 [32  4 64  2]
 [ 2  2  2  8]
 [ 0  0  2  4]]","[[ 0  2  0  4]
 [ 2 16  4  2]
 [32  4 64  8]
 [ 2  2  4  4]]",False,True
0,0,2,"[0, 1, 2]",12,388,"[[ 0  2  0  4]
 [ 2 16  4  2]
 [32  4 64  8]
 [ 2  2  4  4]]","[[ 0  0  2  4]
 [ 2 16  4  2]
 [32  4 64  8]
 [ 0  2  4  8]]",False,True
