Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,2,"[0, 1, 2]",0,54.0,"[[ 0  4  8  0]
 [ 0 32  2  4]
 [ 0  2 64 16]
 [ 2  8 16  8]]","[[ 2  0  4  8]
 [ 0 32  2  4]
 [ 0  2 64 16]
 [ 2  8 16  8]]",False,True
0,0,3,"[0, 1, 2, 3]",1.0,55.0,"[[ 2  0  4  8]
 [ 0 32  2  4]
 [ 0  2 64 16]
 [ 2  8 16  8]]","[[ 0  0  4  8]
 [ 0 32  2  4]
 [ 2  2 64 16]
 [ 4  8 16  8]]",False,True
0,0,3,"[0, 1, 2]",-0.0,55.0,"[[ 0  0  4  8]
 [ 0 32  2  4]
 [ 2  2 64 16]
 [ 4  8 16  8]]","[[ 0  0  4  8]
 [ 0 32  2  4]
 [ 2  2 64 16]
 [ 4  8 16  8]]",False,True
0,0,0,"[0, 1, 2]",1.0,56.0,"[[ 0  0  4  8]
 [ 0 32  2  4]
 [ 2  2 64 16]
 [ 4  8 16  8]]","[[ 4  8  2  0]
 [32  2  4  0]
 [ 4 64 16  0]
 [ 4  8 16  8]]",False,True
0,0,2,"[1, 2, 3]",0,56.0,"[[ 4  8  2  0]
 [32  2  4  0]
 [ 4 64 16  0]
 [ 4  8 16  8]]","[[ 0  4  8  2]
 [ 0 32  2  4]
 [ 2  4 64 16]
 [ 4  8 16  8]]",False,True
0,0,0,"[0, 1]",0,56.0,"[[ 0  4  8  2]
 [ 0 32  2  4]
 [ 2  4 64 16]
 [ 4  8 16  8]]","[[ 4  8  2  2]
 [32  2  4  0]
 [ 2  4 64 16]
 [ 4  8 16  8]]",False,True
0,0,1,"[0, 1, 2, 3]",0,56.0,"[[ 4  8  2  2]
 [32  2  4  0]
 [ 2  4 64 16]
 [ 4  8 16  8]]","[[ 4  8  2  2]
 [32  2  4 16]
 [ 2  4 64  8]
 [ 4  8 16  2]]",False,True
0,0,3,"[0, 2]",-0.1,55.9,"[[ 4  8  2  2]
 [32  2  4 16]
 [ 2  4 64  8]
 [ 4  8 16  2]]","[[ 4  8  4  2]
 [32  2  4 16]
 [ 2  4 64  8]
 [ 4  8 16  2]]",False,True
0,0,3,"[1, 3]",1.0,56.9,"[[ 4  8  4  2]
 [32  2  4 16]
 [ 2  4 64  8]
 [ 4  8 16  2]]","[[ 4  8  8  2]
 [32  2 64 16]
 [ 2  4 16  8]
 [ 4  8  2  2]]",False,True
0,0,3,"[0, 2]",-0.1,56.8,"[[ 4  8  8  2]
 [32  2 64 16]
 [ 2  4 16  8]
 [ 4  8  2  2]]","[[ 4 16  2  2]
 [32  2 64 16]
 [ 2  4 16  8]
 [ 4  8  4  0]]",False,True
0,0,0,"[0, 2, 3]",1.0,57.8,"[[ 4 16  2  2]
 [32  2 64 16]
 [ 2  4 16  8]
 [ 4  8  4  0]]","[[ 4 16  4  2]
 [32  2 64 16]
 [ 2  4 16  8]
 [ 4  8  4  0]]",False,True
0,0,0,"[2, 3]",-0.0,57.8,"[[ 4 16  4  2]
 [32  2 64 16]
 [ 2  4 16  8]
 [ 4  8  4  0]]","[[ 4 16  4  2]
 [32  2 64 16]
 [ 2  4 16  8]
 [ 4  8  4  0]]",False,True
0,0,3,"[2, 3]",0,57.8,"[[ 4 16  4  2]
 [32  2 64 16]
 [ 2  4 16  8]
 [ 4  8  4  0]]","[[ 4 16  4  2]
 [32  2 64  2]
 [ 2  4 16 16]
 [ 4  8  4  8]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,58.8,"[[ 4 16  4  2]
 [32  2 64  2]
 [ 2  4 16 16]
 [ 4  8  4  8]]","[[ 4 16  4  2]
 [32  2 64  2]
 [ 2  4 32  2]
 [ 4  8  4  8]]",False,True
0,0,1,"[1, 3]",1.0,59.8,"[[ 4 16  4  2]
 [32  2 64  2]
 [ 2  4 32  2]
 [ 4  8  4  8]]","[[ 4 16  4  4]
 [32  2 64  2]
 [ 2  4 32  8]
 [ 4  8  4  2]]",False,True
0,0,3,"[0, 2]",-0.1,59.699999999999996,"[[ 4 16  4  4]
 [32  2 64  2]
 [ 2  4 32  8]
 [ 4  8  4  2]]","[[ 4 16  8  2]
 [32  2 64  2]
 [ 2  4 32  8]
 [ 4  8  4  2]]",False,True
