Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,0,"[0, 1, 2, 3]","[-0.10137784481048584, 0.07978340983390808, 0.14726164937019348, 0.219679057598114]",1.3,42.99999999999999,"[[ 4  2 32  2]
 [ 2  4  4 16]
 [ 0  0  2  4]
 [ 0  2  4  0]]","[[ 4  2 32  2]
 [ 2  8 16  2]
 [ 2  4  0  0]
 [ 2  4  0  0]]",False
0,0,3,"[1, 2, 3]","[-0.012685030698776245, 0.00876849889755249, 0.04957860708236694, 0.1765630543231964]",2.1,45.099999999999994,"[[ 4  2 32  2]
 [ 2  8 16  2]
 [ 2  4  0  0]
 [ 2  4  0  0]]","[[ 0  0  0  0]
 [ 4  2  0  0]
 [ 2  8 32  2]
 [ 4  8 16  4]]",False
0,0,3,"[1, 2, 3]","[-0.11678784340620041, 0.04970342665910721, 0.16359162330627441, 0.18927857279777527]",2.1,47.199999999999996,"[[ 0  0  0  0]
 [ 4  2  0  0]
 [ 2  8 32  2]
 [ 4  8 16  4]]","[[ 2  0  0  0]
 [ 4  0  0  0]
 [ 2  2 32  2]
 [ 4 16 16  4]]",False
0,0,3,"[0, 1, 2]","[-0.1285042017698288, -0.019562140107154846, 0.1507718414068222, 0.22409410774707794]",-1,46.199999999999996,"[[ 2  0  0  0]
 [ 4  0  0  0]
 [ 2  2 32  2]
 [ 4 16 16  4]]","[[ 2  0  0  0]
 [ 4  0  0  0]
 [ 2  2 32  2]
 [ 4 16 16  4]]",False
0,0,2,"[0, 1, 2]","[-0.1285042017698288, -0.019562140107154846, 0.1507718414068222, 0.22409410774707794]",4.1,50.3,"[[ 2  0  0  0]
 [ 4  0  0  0]
 [ 2  2 32  2]
 [ 4 16 16  4]]","[[ 0  0  2  2]
 [ 0  0  0  4]
 [ 0  4 32  2]
 [ 0  4 32  4]]",False
0,0,1,"[0, 1, 2, 3]","[-0.12253966927528381, 0.026628762483596802, 0.16735300421714783, 0.1552029252052307]",13.8,64.1,"[[ 0  0  2  2]
 [ 0  0  0  4]
 [ 0  4 32  2]
 [ 0  4 32  4]]","[[ 0  8  2  2]
 [ 0  0 64  4]
 [ 0  0  0  2]
 [ 0  0  2  4]]",False
0,0,3,"[0, 1, 2, 3]","[-0.20862826704978943, -0.00405535101890564, 0.30238077044487, 0.16703194379806519]",0.6000000000000001,64.69999999999999,"[[ 0  8  2  2]
 [ 0  0 64  4]
 [ 0  0  0  2]
 [ 0  0  2  4]]","[[ 0  0  0  2]
 [ 0  0  2  4]
 [ 0  0 64  2]
 [ 2  8  2  4]]",False
0,0,2,"[0, 1]","[-0.12550382316112518, -0.08254191279411316, 0.10475072264671326, 0.3655659556388855]",-1,63.69999999999999,"[[ 0  0  0  2]
 [ 0  0  2  4]
 [ 0  0 64  2]
 [ 2  8  2  4]]","[[ 0  0  0  2]
 [ 0  0  2  4]
 [ 0  0 64  2]
 [ 2  8  2  4]]",False
0,0,0,"[0, 1]","[-0.12550382316112518, -0.08254191279411316, 0.10475072264671326, 0.3655659556388855]",0.6000000000000001,64.29999999999998,"[[ 0  0  0  2]
 [ 0  0  2  4]
 [ 0  0 64  2]
 [ 2  8  2  4]]","[[ 2  0  0  0]
 [ 2  4  0  0]
 [64  2  0  2]
 [ 2  8  2  4]]",False
0,0,3,"[0, 1, 2, 3]","[-0.060561709105968475, 0.11997118592262268, 0.08545765280723572, 0.2303551286458969]",1.0,65.29999999999998,"[[ 2  0  0  0]
 [ 2  4  0  0]
 [64  2  0  2]
 [ 2  8  2  4]]","[[ 0  2  0  0]
 [ 4  4  0  0]
 [64  2  0  2]
 [ 2  8  2  4]]",False
